Date,Year,Month,Route,Count
2018-08-06,2018,Aug,Canada Line Bridge at West Kent,987.0
2018-08-06,2018,Aug,Comox at Thurlow,793.0
2018-08-06,2018,Aug,Dunsmuir Viaduct,1191.0
2018-08-06,2018,Aug,East 10th at Clark,1420.0
2018-08-06,2018,Aug,Hornby and Robson,1578.0
2018-08-06,2018,Aug,Lions Gate Bridge at Spirit Trail,2191.0
2018-08-06,2018,Aug,Ontario and 11th,1482.0
2018-08-06,2018,Aug,Point Grey at Stephens,4209.0
2018-08-06,2018,Aug,Point Grey at Volunteer Park,5103.0
2018-08-06,2018,Aug,Seawall 2nd Beach Pool,8253.0
2018-08-06,2018,Aug,Seawall at David Lam Park,6561.0
2018-08-06,2018,Aug,Seawall at HMS Discovery,7963.0
2018-08-06,2018,Aug,Seawall at Harbour Green Park,4404.0
2018-08-06,2018,Aug,Seawall at Science World,7247.0
2018-08-06,2018,Aug,Smithe at Expo,533.0
2018-08-06,2018,Aug,Stephens at Point Grey,1017.0
2018-08-06,2018,Aug,Union at Hawks,2886.0
2018-08-07,2018,Aug,Burrard at Cornwall,7571.0
2018-08-07,2018,Aug,Canada Line Bridge at West Kent,802.0
2018-08-07,2018,Aug,Comox at Thurlow,1078.0
2018-08-07,2018,Aug,Dunsmuir Viaduct,3084.0
2018-08-07,2018,Aug,East 10th at Clark,2521.0
2018-08-07,2018,Aug,Hornby and Robson,3198.0
2018-08-07,2018,Aug,Lions Gate Bridge at Spirit Trail,2409.0
2018-08-07,2018,Aug,Ontario and 11th,2397.0
2018-08-07,2018,Aug,Point Grey at Stephens,2991.0
2018-08-07,2018,Aug,Point Grey at Volunteer Park,3721.0
2018-08-07,2018,Aug,Seawall 2nd Beach Pool,5780.0
2018-08-07,2018,Aug,Seawall at David Lam Park,5058.0
2018-08-07,2018,Aug,Seawall at HMS Discovery,5486.0
2018-08-07,2018,Aug,Seawall at Harbour Green Park,3451.0
2018-08-07,2018,Aug,Seawall at Science World,8075.0
2018-08-07,2018,Aug,Smithe at Expo,1393.0
2018-08-07,2018,Aug,Stephens at Point Grey,951.0
2018-08-07,2018,Aug,Union at Hawks,4785.0
2018-08-08,2018,Aug,Burrard at Cornwall,7694.0
2018-08-08,2018,Aug,Canada Line Bridge at West Kent,856.0
2018-08-08,2018,Aug,Comox at Thurlow,1100.0
2018-08-08,2018,Aug,Dunsmuir Viaduct,3160.0
2018-08-08,2018,Aug,East 10th at Clark,2632.0
2018-08-08,2018,Aug,Hornby and Robson,3129.0
2018-08-08,2018,Aug,Lions Gate Bridge at Spirit Trail,2471.0
2018-08-08,2018,Aug,Ontario and 11th,2512.0
2018-08-08,2018,Aug,Point Grey at Stephens,3165.0
2018-08-08,2018,Aug,Point Grey at Volunteer Park,4145.0
2018-08-08,2018,Aug,Seawall 2nd Beach Pool,5482.0
2018-08-08,2018,Aug,Seawall at David Lam Park,4848.0
