Date,Burrard at Cornwall,Canada Line Bridge at West Kent,Comox at Thurlow,Dunsmuir Viaduct,East 10th at Clark,Hornby and Robson,Lions Gate Bridge at Spirit Trail,Ontario and 11th,Point Grey at Stephens,Point Grey at Volunteer Park,Seawall 2nd Beach Pool,Seawall at Creekside Community Centre,Seawall at David Lam Park,Seawall at Harbour Green Park,Seawall at HMS Discovery,Seawall at Science World,Smithe at Expo,Stephens at Point Grey,Union at Hawks
"September 30, 2019",4918,235,718,2664,2133,2645,1736,0,1418,2090,2101,2545,2464,1681,2267,5504,1107,718,3892
"October 1, 2019",5039,232,734,2602,2325,2635,1713,0,1346,2017,1888,2259,2419,1402,1886,5405,1131,685,3864
"October 2, 2019",4321,184,686,2530,2084,2514,1453,0,991,1573,1196,1835,1668,1078,1241,4539,1052,576,3620
"October 3, 2019",3036,117,554,1845,1515,1922,875,0,602,978,611,1203,987,570,638,3282,794,354,2592
"October 4, 2019",2747,121,517,1695,1374,1700,731,0,551,875,456,1047,831,511,544,2894,736,316,2373
"October 5, 2019",3737,241,561,1038,1522,1341,1412,0,1703,2134,3133,2806,2896,1640,3178,4438,589,500,2279
"October 6, 2019",2764,218,463,864,1138,1070,1106,0,1258,1612,2077,1954,1957,1264,2162,3362,409,358,2024
"October 7, 2019",2536,102,389,1590,1255,1557,748,0,484,786,273,814,637,399,311,2413,656,271,2091
"October 8, 2019",3996,180,649,2421,1929,2265,1381,0,890,1353,997,1599,1386,950,1080,4195,1040,462,3493
"October 9, 2019",4400,205,686,2418,2053,2380,1503,0,1170,1721,1418,2034,1887,1059,1470,4892,1087,527,3536
"October 10, 2019",4176,200,664,2318,1994,2445,1398,0,1074,1507,1503,1925,1794,1092,1551,4567,1069,487,3425
"October 11, 2019",3781,209,626,1999,1677,2221,1292,0,1066,1485,1951,1921,1866,1117,1957,4271,914,402,3155
"October 12, 2019",2073,150,368,448,800,922,671,0,757,984,1722,1282,1352,1041,1877,2270,291,249,1172
"October 13, 2019",2069,110,326,590,823,847,705,0,872,1088,2111,1431,1548,1205,2209,2255,294,231,1240
"October 14, 2019",2781,177,365,687,960,932,1025,0,1355,1759,2628,2278,2472,1241,2712,3154,309,417,1528
"October 15, 2019",2898,124,474,1898,1457,1712,974,0,568,938,384,1028,804,449,400,2974,770,355,2600
"October 16, 2019",2086,77,341,1501,1190,1351,713,0,359,629,199,0,511,288,215,2243,630,253,1999
"October 17, 2019",2123,77,349,1541,1120,1354,691,0,339,601,257,701,562,376,281,2196,617,255,2020
"October 18, 2019",2057,94,373,1426,1031,1333,694,0,378,614,346,795,651,387,0,2283,604,216,1926
"October 19, 2019",1541,69,283,538,761,714,366,0,498,662,850,882,848,475,0,1617,271,181,1076
"October 20, 2019",626,35,183,328,359,329,121,0,166,225,142,299,303,138,0,737,146,67,483
"October 21, 2019",1744,77,253,1241,988,1117,669,0,268,470,47,562,383,184,0,1739,500,199,1598
"October 22, 2019",3890,194,599,2267,1868,2220,1467,0,982,1524,1236,1977,1713,958,0,4397,961,511,3211
"October 23, 2019",4298,199,708,2453,2056,2390,1668,0,1100,1713,1162,1927,1661,983,0,4527,1022,564,3585
"October 24, 2019",3843,184,613,2350,1915,2360,1344,0,810,1246,998,1645,1383,840,0,3994,1019,420,3225
"October 25, 2019",2820,125,510,2091,1231,2100,831,0,631,920,180,1292,965,613,0,3145,765,304,2560
"October 26, 2019",3453,236,470,964,1488,1149,1268,1198,1558,2020,2901,2236,2529,1261,0,3715,442,505,2197
"October 27, 2019",3266,234,475,790,1182,995,1214,0,1746,2126,2488,2499,2724,1259,0,3765,386,449,1916
"October 28, 2019",3909,180,569,2284,1881,2390,1376,0,917,1447,1131,1718,1558,839,0,4153,1015,508,3136
"October 29, 2019",3985,195,624,2390,1952,2306,1377,0,911,1444,843,1689,1400,753,0,4206,1490,476,3272
"October 30, 2019",3825,0,589,2246,1908,2235,1309,0,831,1302,778,1515,1456,798,0,4020,957,453,3132
"October 31, 2019",3555,149,584,2174,1801,2158,1222,0,812,1271,732,1479,1262,721,779,3723,867,426,2994
"November 1, 2019",3753,159,588,2147,1662,2262,1216,1362,959,1360,901,1609,1415,840,951,3856,845,458,3037
"November 2, 2019",3089,224,418,920,1344,1065,1123,1148,1292,1608,2167,2338,2165,1144,2125,3610,407,409,1935
"November 3, 2019",2831,187,453,781,1124,967,925,0,1427,1720,1777,2173,2224,934,1831,3381,374,385,1643
"November 4, 2019",3819,175,593,2368,1837,2294,1454,0,823,1270,775,1518,1486,694,802,4020,1143,463,3346
"November 5, 2019",3846,164,623,2335,1985,2186,1387,0,807,1273,608,1540,1300,679,652,4083,972,476,3273
"November 6, 2019",3982,195,642,2407,2035,2326,1486,0,940,1404,728,1690,1446,767,735,4206,1180,474,3259
"November 7, 2019",3780,156,599,2232,1909,2188,1315,0,870,1339,665,1513,1282,721,679,3883,948,460,3134
"November 8, 2019",3529,149,581,1948,1592,2079,1277,0,813,1170,990,1592,1358,805,1020,3707,872,437,2750
"November 9, 2019",953,46,210,416,517,446,233,0,227,329,268,497,405,178,328,1017,185,128,724
"November 10, 2019",2261,156,327,708,878,840,829,0,948,1175,2170,1727,1806,1076,2200,2715,292,285,1534
"November 11, 2019",1933,137,335,569,829,910,619,0,808,1020,1292,1285,1347,721,1363,2228,334,263,1137
"November 12, 2019",2390,93,380,1647,1291,1444,835,0,398,658,150,853,578,306,154,2502,623,269,2310
"November 13, 2019",3778,161,608,0,1984,1975,1423,0,905,1346,902,1694,1442,792,972,4081,930,461,3297
"November 14, 2019",3517,158,577,0,1809,2034,1210,0,750,1131,704,1451,1289,622,722,3837,914,390,3191
"November 15, 2019",2236,103,419,0,1191,1322,719,0,480,703,367,1000,776,382,431,2440,611,262,2148
"November 16, 2019",749,25,208,0,421,348,154,0,227,275,95,370,264,103,113,849,149,78,707
"November 17, 2019",929,53,244,0,524,423,165,0,399,515,399,606,602,293,410,1202,172,133,804
"November 18, 2019",2810,127,462,0,1375,1641,975,0,530,877,178,1015,803,454,364,2765,719,359,2411
"November 19, 2019",3542,176,571,0,1840,2023,1336,0,815,1268,521,1519,1361,671,651,3897,840,469,3126
"November 20, 2019",3812,211,570,0,1893,2076,1340,0,987,1435,489,1680,1502,773,718,4099,1188,463,3496
"November 21, 2019",3651,149,601,0,1739,2125,1309,0,864,1245,393,1482,1300,740,688,3706,883,410,3086
"November 22, 2019",3269,124,551,1890,1521,1906,1107,0,832,1166,390,1393,1254,719,698,3369,809,352,2725
"November 23, 2019",1016,53,238,428,529,476,183,0,304,378,222,481,360,188,229,1022,177,99,767
"November 24, 2019",2159,158,382,674,892,671,706,0,949,1189,1226,1461,1540,685,1258,2478,272,283,1417
"November 25, 2019",3228,152,518,2100,1580,1808,1080,0,658,1063,262,1294,983,496,471,3332,827,372,2853
"November 26, 2019",3149,111,508,2111,1605,1884,928,0,586,962,250,1241,845,462,408,3232,820,359,2858
"November 27, 2019",3695,153,566,2201,1784,2090,1161,0,693,1088,249,1328,1132,535,478,3631,872,440,3121
"November 28, 2019",3112,128,554,1964,0,1897,960,0,630,928,333,1250,946,514,615,3246,1168,349,2677
"November 29, 2019",2854,110,539,1567,1232,1836,799,0,570,833,297,1097,1006,553,655,2882,698,292,2175
"November 30, 2019",1633,117,302,555,707,724,334,0,496,657,716,738,780,449,764,1603,253,189,967
"December 1, 2019",1180,64,237,509,564,539,294,0,396,495,349,505,564,305,370,1267,191,128,836
"December 2, 2019",2069,88,299,1437,1067,1153,674,0,324,572,49,689,418,234,70,2080,597,233,1917
"December 3, 2019",2360,91,374,1608,1243,1343,787,0,391,661,174,867,572,302,183,2407,666,257,2067
"December 4, 2019",2772,102,428,1740,0,1491,852,0,535,894,281,1112,859,386,328,2912,714,329,2466
"December 5, 2019",2808,238,474,1868,0,1613,895,0,526,850,291,1164,833,408,303,2815,756,330,2587
"December 6, 2019",2138,204,371,1368,0,1284,673,0,363,596,210,818,561,274,215,2203,970,237,1903
"December 7, 2019",886,134,262,363,0,497,221,0,208,274,160,508,389,146,167,985,168,98,711
"December 8, 2019",1830,320,383,568,0,717,613,0,703,913,876,1061,1164,641,944,1959,249,251,1213
"December 9, 2019",3200,371,489,1916,0,1727,1184,0,721,1112,683,1335,1102,627,663,3398,800,384,2756
"December 10, 2019",2543,288,448,1835,0,1617,843,0,464,741,177,930,670,356,199,2765,677,257,2373
"December 11, 2019",2182,226,345,1557,0,1247,722,0,354,583,181,752,493,305,186,2207,571,208,2044
"December 12, 2019",1612,150,287,1148,0,1013,497,0,222,398,52,580,376,214,89,1715,445,169,1502
"December 13, 2019",2127,213,379,1326,0,1289,673,0,426,640,243,808,584,336,244,2203,540,206,1840
"December 14, 2019",1451,280,293,451,0,580,411,0,401,541,613,642,618,402,654,1298,199,154,964
"December 15, 2019",1579,310,302,514,0,658,471,0,613,814,816,878,943,548,896,1577,232,224,991
"December 16, 2019",1950,215,306,1349,0,1170,695,0,309,514,83,664,389,230,125,1936,554,207,1733
"December 17, 2019",2016,230,336,1378,0,1169,621,0,288,480,100,745,471,249,111,2033,573,208,1791
"December 18, 2019",1724,188,320,1237,0,1041,526,0,260,449,81,548,368,219,87,1745,519,167,1608
"December 19, 2019",1510,165,257,1021,0,936,471,0,188,343,61,476,341,185,64,1545,438,133,1329
"December 20, 2019",1337,0,280,922,0,887,371,0,204,324,105,459,309,176,103,1347,389,133,1210
"December 21, 2019",841,0,212,361,0,416,161,0,256,321,322,491,461,208,312,977,174,121,636
"December 22, 2019",1549,0,256,492,0,599,497,0,727,898,1203,1090,1161,682,1235,1748,188,216,1018
"December 23, 2019",1754,0,358,929,0,990,527,0,446,609,763,752,776,487,808,1835,442,172,1349
"December 24, 2019",1081,0,227,570,0,615,304,0,291,406,396,579,495,258,459,1163,238,110,856
"December 25, 2019",754,0,118,218,0,270,221,0,410,499,1052,629,849,416,1076,958,55,108,426
"December 26, 2019",748,0,173,303,0,357,210,0,282,369,645,516,515,267,670,861,121,83,514
"December 27, 2019",1027,0,220,516,0,605,261,0,281,361,658,498,431,418,689,1066,214,95,704
"December 28, 2019",748,0,180,320,0,355,240,0,265,347,550,403,363,276,636,754,123,102,525
"December 29, 2019",1483,0,244,410,0,553,447,0,657,846,1730,991,1200,820,1768,1653,174,212,835
"December 30, 2019",1113,0,272,676,0,651,340,0,273,336,528,479,399,311,612,1160,241,125,910
"December 31, 2019",485,0,124,341,0,358,109,0,82,119,56,208,145,64,58,519,122,33,454
"January 1, 2020",2063,361,293,358,0,495,635,0,1193,1465,2407,1552,2417,0,2399,2373,208,299,969
"January 2, 2020",1282,159,293,868,0,900,425,0,245,394,221,510,401,0,311,1473,361,148,1178
"January 3, 2020",1248,113,267,781,0,852,322,0,222,324,362,582,461,0,397,1485,324,116,1062
"January 4, 2020",1614,295,293,453,0,605,432,0,708,929,1119,1063,1121,0,1170,1781,213,237,970
"January 5, 2020",802,128,191,289,0,326,141,0,340,408,333,587,557,0,383,1093,129,110,585
"January 6, 2020",1661,0,240,1251,0,1005,530,0,274,490,48,547,339,0,55,1729,460,193,1530
"January 7, 2020",1808,0,290,1310,0,1087,301,0,295,516,59,577,358,0,69,1787,486,200,1614
"January 8, 2020",2541,92,366,1782,0,1466,473,0,590,923,328,991,764,0,383,2847,701,335,2270
"January 9, 2020",2580,0,408,1562,0,1572,406,489,636,909,593,1062,912,0,598,2747,670,288,2117
"January 10, 2020",912,21,197,658,0,642,122,0,113,191,17,316,200,0,20,894,218,78,738
"January 11, 2020",1135,37,273,427,0,526,131,0,410,535,501,653,644,0,566,1290,742,134,778
"January 12, 2020",274,6,81,158,0,180,29,0,77,110,75,136,128,0,77,308,77,29,188
"January 13, 2020",367,10,88,302,0,363,84,49,61,78,18,170,95,0,24,391,1080,23,281
"January 14, 2020",337,13,91,328,0,329,73,0,52,86,11,172,85,0,16,456,83,30,336
"January 15, 2020",121,0,13,138,0,126,29,13,17,30,10,79,57,0,10,151,27,7,106
"January 16, 2020",309,0,62,279,0,371,81,0,37,46,7,157,74,0,52,368,56,13,201
"January 17, 2020",468,17,86,368,0,546,86,0,76,106,49,211,141,0,178,546,128,37,301
"January 18, 2020",341,8,103,167,0,226,42,0,70,89,11,146,112,0,87,377,64,29,206
"January 19, 2020",530,22,130,210,0,236,119,0,171,209,65,250,243,0,245,543,96,34,302
"January 20, 2020",1803,0,244,1200,0,1050,574,0,321,527,143,678,492,0,230,1771,440,211,1483
"January 21, 2020",1847,57,301,1357,0,1089,574,0,335,551,96,674,485,0,121,1925,494,211,1632
"January 22, 2020",1916,0,284,1395,0,1103,622,0,317,544,160,677,461,0,185,1954,508,273,1605
"January 23, 2020",1482,37,219,1085,0,911,431,0,255,423,35,505,330,0,56,1517,395,184,1283
"January 24, 2020",1782,62,281,1197,0,1035,498,0,356,556,273,696,661,0,278,1933,483,213,1605
"January 25, 2020",967,36,204,363,0,354,216,0,328,459,475,519,531,0,490,999,165,148,637
"January 26, 2020",1348,70,208,370,0,329,427,0,673,835,967,584,1002,0,959,1605,180,215,922
"January 27, 2020",2448,91,336,1554,0,1289,808,0,521,864,556,1036,866,0,534,2540,590,328,2058
"January 28, 2020",2534,110,412,1691,0,1436,853,0,539,834,506,1094,916,0,476,2686,651,337,2279
"January 29, 2020",1802,71,279,1303,0,1040,585,0,340,600,229,662,564,0,264,1929,488,252,1695
"January 30, 2020",2286,84,365,1480,0,1355,799,0,450,733,433,834,695,0,473,2262,584,273,1997
"January 31, 2020",1154,506,189,916,0,782,390,0,184,320,53,381,258,0,42,1211,345,137,1089
"February 1, 2020",1857,90,282,554,0,652,537,0,941,1162,1381,1557,1528,0,1446,2458,246,314,1348
"February 2, 2020",1155,118,225,411,0,450,252,0,452,556,576,702,654,0,588,1281,209,142,779
"February 3, 2020",2465,191,389,1620,0,1415,836,0,552,839,561,1030,846,0,662,2775,642,303,2172
"February 4, 2020",620,29,143,475,0,515,170,0,83,131,10,224,119,0,26,717,157,46,560
"February 5, 2020",1420,285,253,1019,0,891,439,0,224,373,78,516,338,0,92,1557,357,144,1359
"February 6, 2020",1845,56,270,1352,0,1113,600,0,319,524,89,600,423,0,104,2007,484,214,1803
"February 7, 2020",1675,53,275,1173,0,1042,512,0,273,461,101,559,352,0,107,1774,461,190,1560
"February 8, 2020",2454,115,357,568,0,673,741,366,1138,1378,1789,1688,1887,0,1840,2860,297,338,1424
"February 9, 2020",1962,123,312,523,0,593,686,0,931,1113,1651,1390,1611,0,1595,2364,276,240,1219
"February 10, 2020",2975,138,478,1848,0,1568,1056,506,697,1050,822,1392,1211,0,827,3441,725,404,2630
"February 11, 2020",2624,103,418,1782,0,1523,888,0,548,853,352,1032,802,0,402,2970,705,295,2426
"February 12, 2020",2844,99,473,1860,0,1622,970,0,585,907,444,1119,907,0,468,3121,1050,345,2543
"February 13, 2020",1979,72,334,1283,0,1098,630,311,378,603,180,731,521,0,196,2104,546,239,1698
"February 14, 2020",2709,108,481,1599,0,1520,950,448,826,1146,1229,1518,1358,0,1250,3314,651,355,2379
"February 15, 2020",737,25,195,332,0,345,124,135,228,286,184,326,285,0,202,796,394,78,640
"February 16, 2020",1623,111,251,433,0,550,517,252,739,918,1387,1133,1227,0,1402,1897,206,260,992
"February 17, 2020",2413,125,334,621,0,722,844,310,1175,1507,2704,1851,2073,0,2758,2950,264,389,1469
"February 18, 2020",3101,86,472,1961,0,1800,1078,514,734,1073,1122,1523,1346,0,1197,3537,774,341,2753
"February 19, 2020",3320,104,486,1949,0,1777,1134,588,831,1158,1139,1643,1475,0,1167,3865,810,408,2847
"February 20, 2020",3324,87,473,1924,0,1848,1063,550,760,1050,1202,1538,1466,0,1219,3763,1156,373,2794
"February 21, 2020",3065,111,480,1746,0,1759,1085,539,748,1024,1320,1525,1466,0,1345,3595,1739,381,2587
"February 22, 2020",1672,84,281,525,0,684,448,294,698,853,975,974,949,0,1003,1814,1204,232,1059
"February 23, 2020",943,42,202,335,0,411,193,173,330,433,344,497,469,0,370,1055,451,139,661
"February 24, 2020",3158,117,493,1829,0,1595,1049,553,688,1042,658,1272,1092,0,702,3362,1369,377,2570
"February 25, 2020",2407,111,411,1770,0,1472,826,459,468,716,216,908,601,0,236,2734,944,250,2240
"February 26, 2020",2781,152,438,1742,0,1576,882,512,597,921,526,1128,910,0,529,2978,1007,341,2449
"February 27, 2020",2307,274,338,1561,0,1278,693,432,491,767,338,848,709,0,343,2453,847,306,2007
"February 28, 2020",2212,248,391,1375,0,1367,698,369,493,780,363,866,747,0,389,2391,1283,273,2000
"February 29, 2020",2596,459,386,691,0,899,777,451,1204,1532,2062,1876,1879,0,2111,3100,1410,418,1570
"March 1, 2020",1958,395,308,517,0,622,756,136,804,1034,1092,1222,1294,0,1195,2181,,246,1111
"March 2, 2020",1755,194,266,1328,0,985,620,656,292,561,95,594,374,0,101,1835,,253,1737
"March 3, 2020",2350,271,405,1673,0,1406,774,900,480,796,320,951,706,0,345,2735,,330,2218
"March 4, 2020",3777,460,528,2112,0,1793,1361,1338,1068,1562,1359,1867,1776,0,1383,4413,,551,3257
"March 5, 2020",2208,244,392,1572,0,1344,665,835,386,666,155,797,500,0,174,2395,,302,2012
"March 6, 2020",3311,405,518,1847,0,1705,1119,1149,904,1322,1566,1768,1760,0,1576,3899,,462,2692
"March 7, 2020",1485,256,292,578,0,634,368,563,567,682,923,969,954,0,895,1877,,206,1105
"March 8, 2020",2352,498,408,648,0,697,822,809,1224,1566,2020,1947,2052,0,1951,3106,,440,1528
"March 9, 2020",3282,411,516,1987,0,1702,1231,1101,872,1277,1202,1754,1666,0,1221,3922,,461,2846
"March 10, 2020",2061,248,377,1505,0,1260,680,809,378,632,118,723,449,0,134,2204,,263,1965
"March 11, 2020",3330,417,493,2010,0,1824,1215,1266,835,1278,923,1710,1537,0,950,4073,,492,2967
"March 12, 2020",3271,390,503,1918,0,1676,1031,1187,820,1203,763,1537,1363,0,807,3796,,455,2753
"March 13, 2020",2718,304,453,1600,1267,1413,866,929,589,862,585,1198,955,0,602,2963,,328,2273
"March 14, 2020",2455,400,350,649,1012,708,816,933,1381,1688,1822,1991,2044,0,1805,3217,,429,1554
"March 15, 2020",2847,596,379,562,973,765,1119,878,1692,2111,2374,2517,2944,0,2290,3811,,570,1671
"March 16, 2020",3310,440,447,1505,1394,1353,1160,1061,1345,1786,1584,2163,2169,0,1547,4065,,558,2296
"March 17, 2020",3292,486,492,1236,1543,1228,1182,1094,1671,2187,1846,2412,2644,0,1764,4205,,634,2328
"March 18, 2020",3991,565,505,1078,1577,1149,1404,1123,2409,3052,2474,3347,3632,0,2376,5041,,744,2497
"March 19, 2020",3947,567,448,1067,1497,1061,1308,1140,2526,3226,2332,3400,3748,0,2170,5257,,780,2538
"March 20, 2020",4042,664,484,1035,1572,969,1356,1295,2795,3533,2538,3613,4271,0,2338,5438,,861,2625
"March 21, 2020",5255,1104,488,837,1848,660,2507,1440,4196,5312,3208,4525,5260,0,3017,6342,,1191,2763
"March 22, 2020",2796,653,359,533,1080,536,1225,818,2122,2669,1671,2335,2397,0,1566,3208,,631,1570
"March 23, 2020",1649,270,263,607,986,597,500,538,849,1098,710,1268,1223,0,672,2107,,278,1153
"March 24, 2020",2040,338,293,640,996,534,687,624,1229,1614,935,1556,1696,0,894,2475,,407,1315
"March 25, 2020",3952,707,452,862,1629,851,1659,1130,2653,3516,1871,3082,3374,0,1747,4516,,864,2176
"March 26, 2020",1307,248,232,507,696,464,449,420,620,755,442,847,763,0,444,1448,,175,929
"March 27, 2020",842,126,161,349,507,323,242,301,305,416,241,498,391,0,227,1015,,131,652
"March 28, 2020",920,131,158,213,357,210,214,282,626,790,503,624,632,0,436,988,,179,428
"March 29, 2020",4302,1034,396,691,1740,568,1898,1254,3556,4684,2367,3471,3881,0,2170,4892,,1023,2284
"March 30, 2020",1518,251,265,579,863,558,458,477,910,1134,817,1231,1314,0,777,2002,,276,1174
"March 31, 2020",2403,457,251,674,1109,644,832,731,1476,1851,1166,1732,1864,0,1140,2728,,401,1433
"April 1, 2020",2775,432,359,757,1244,679,1061,862,1681,2258,1228,2063,2333,0,1187,3309,,632,1724
"April 2, 2020",2223,420,329,707,1102,652,782,747,1291,1593,914,1646,1626,0,871,2610,,361,1572
"April 3, 2020",2232,363,344,673,1110,707,703,763,1417,1797,1093,1927,1978,0,1055,2992,,466,1647
"April 4, 2020",3163,669,393,602,1254,558,1270,1032,2221,2778,1548,2524,2700,0,1483,3792,,673,1867
"April 5, 2020",4883,1298,497,802,2038,719,2366,1473,3563,4582,1142,3812,4006,0,2148,5324,,1060,2806
"April 6, 2020",3396,570,417,797,1430,780,1395,1005,2267,2860,1333,2799,3051,0,1551,4167,,624,2166
"April 7, 2020",3670,587,441,870,1475,773,1425,1077,2285,2922,1705,2865,3125,0,1621,4247,,802,2291
"April 8, 2020",4234,653,438,1021,1606,901,1692,1188,2490,3190,808,3147,3419,0,442,4607,,757,2540
"April 9, 2020",4200,686,493,941,1734,882,1812,1252,2589,3205,539,3097,3447,0,104,4607,,800,2635
"April 10, 2020",5877,1208,590,997,2128,817,2835,1692,4355,5625,228,4403,4236,0,52,6108,,1236,3149
"April 11, 2020",5758,1172,524,876,2188,818,2950,1769,4258,5385,174,4304,4054,0,53,6220,,1141,2957
"April 12, 2020",5711,1353,493,890,2280,713,2695,1624,4133,5229,123,4390,4155,0,44,6038,,1108,2845
"April 13, 2020",4538,884,468,822,1730,760,1913,1315,2936,3810,80,3460,3407,0,26,4863,,859,2401
"April 14, 2020",4111,677,491,1050,1750,977,1545,1303,2571,3299,96,3275,3086,0,38,4766,,773,2609
"April 15, 2020",5207,942,579,1128,2019,1068,2152,1473,3445,4335,119,3736,3786,0,38,5443,,978,3044
"April 16, 2020",5372,889,588,1124,2073,1045,2198,1568,3553,4459,112,4293,4237,0,41,6166,,976,3139
"April 17, 2020",3819,666,478,963,1643,937,1508,1136,2126,2663,66,2776,2720,0,33,4438,,578,2367
"April 18, 2020",7256,1564,652,1106,2895,1078,3633,2095,5601,7087,180,5629,5485,0,43,7869,,1444,4028
"April 19, 2020",5599,1387,518,941,2310,878,2888,1615,3750,4757,90,4154,4027,0,44,5958,,1025,2891
"April 20, 2020",4728,781,562,1029,1965,1031,1088,1299,3003,3681,109,3753,3752,0,23,5506,,811,2618
"April 21, 2020",3917,638,481,990,1637,993,746,1117,1978,2615,51,2757,2658,0,19,4185,,726,2397
"April 22, 2020",1439,237,260,502,896,466,209,465,619,836,40,1017,952,0,18,1750,,254,992
"April 23, 2020",4441,748,533,991,1953,970,852,1305,2679,3403,96,3451,3452,0,30,5331,,798,2541
"April 24, 2020",4678,818,611,1068,1958,703,1003,1342,2596,3186,62,3146,3042,0,33,4794,,750,2637
"April 25, 2020",3511,687,412,627,1562,652,600,1160,2591,3133,75,3153,2742,0,44,4292,,622,1931
"April 26, 2020",3873,923,394,702,2081,622,913,1043,2481,3103,48,2997,2881,0,23,4183,,655,2126
"April 27, 2020",3996,582,445,912,1662,861,706,1072,2649,3300,76,3423,3351,0,27,4798,,777,2349
"April 28, 2020",2617,415,401,731,1557,690,432,763,1295,1626,41,1913,1708,0,14,2931,,449,1675
"April 29, 2020",2509,366,386,737,1283,677,439,724,1299,1639,51,1577,1650,0,32,0,,409,1522
"April 30, 2020",5928,883,651,1247,2246,1121,1240,1563,3535,4414,110,4506,4478,0,45,0,,1013,3016
"May 1, 2020",5913,1090,710,1175,2117,1115,2561,1694,3489,4379,81,4236,4234,1428,49,0,,1001,3285
"May 2, 2020",1244,175,200,250,497,310,330,375,656,820,35,958,996,342,27,0,,179,683
"May 3, 2020",5226,1073,523,847,1790,824,2073,1391,3700,4614,87,4401,4381,1572,51,0,,982,2522
"May 4, 2020",4407,755,493,1066,1716,1022,1764,1264,2454,3002,50,3331,3203,1148,28,0,,672,2608
"May 5, 2020",6864,992,671,1367,2568,1248,2632,1896,4490,5602,159,5691,5703,1792,56,3509,,1292,3737
"May 6, 2020",3937,603,547,967,2565,950,1345,1134,2283,2882,77,3405,3502,1107,38,2849,,701,2453
"May 7, 2020",7055,1175,708,1344,3111,1246,3005,2017,4342,5390,161,5624,5882,1708,76,4618,,1187,3955
"May 8, 2020",7655,1102,784,1357,2718,1265,3020,2242,5594,6814,314,6309,6552,1923,68,4950,,1468,4298
"May 9, 2020",9666,1755,965,1270,3089,1242,4891,2764,7904,10124,324,7746,7813,2432,95,5912,,2108,4714
"May 10, 2020",7881,1388,741,1086,2624,985,3632,2033,6303,7905,283,6715,7228,2205,81,4950,,1629,3859
"May 11, 2020",5432,873,677,1217,2151,1224,2292,1580,3385,4235,97,4638,4519,1589,36,3734,,920,3247
"May 12, 2020",2535,421,397,770,1108,648,791,835,1423,1775,41,1950,1933,715,23,1669,,420,1514
"May 13, 2020",3515,602,525,920,1580,346,1115,1164,1865,2394,71,2749,2802,951,24,2344,,597,2051
"May 14, 2020",5001,814,635,1188,1782,5,1720,1476,3036,3674,104,4153,4376,1325,43,3539,,784,2932
"May 15, 2020",9007,1551,914,1652,3334,5,4098,2530,6063,7469,260,7113,7313,2254,85,5714,,1490,4963
"May 16, 2020",1984,311,275,419,852,7,783,642,1072,1279,51,1283,1305,444,30,1100,,245,1092
"May 17, 2020",4532,758,469,698,1376,14,1509,1267,3311,3938,138,4441,4402,1539,43,3261,,723,2241
"May 18, 2020",10288,2229,893,1499,3077,11,5291,2634,7822,9526,293,8911,9269,2965,110,6607,,1660,5173
"May 19, 2020",6146,956,676,1438,2087,3,2298,1836,3579,4355,170,4928,5264,1587,49,4206,,970,3554
"May 20, 2020",3685,597,516,1045,1538,1,1247,1142,1793,2228,65,2480,2400,817,30,2283,,553,2209
"May 21, 2020",5153,855,658,1194,2129,2,1783,1634,2948,3567,97,4023,4044,1311,39,3465,,833,3002
"May 22, 2020",6070,1020,745,1353,2380,0,2314,1859,3499,4288,135,4502,4281,1406,44,3814,,975,3437
"May 23, 2020",5775,1284,572,1031,2338,0,2724,1809,3747,4480,160,4795,4623,1638,63,3848,,943,3511
"May 24, 2020",5423,1133,509,966,1911,0,2350,1523,3446,4256,104,4628,4696,1682,52,3703,,913,2924
"May 25, 2020",2080,390,326,622,966,4,597,690,976,1222,42,1683,1506,522,18,1491,,319,1390
"May 26, 2020",7120,1161,782,1567,2700,0,2630,2132,4406,5556,238,5798,6166,1881,71,4943,,1361,4035
"May 27, 2020",8076,1241,920,1703,2900,0,3266,2521,5075,6401,291,6588,6935,2110,59,5521,,1396,4709
"May 28, 2020",7098,1011,848,1553,2819,2,2614,2176,4271,5311,222,5742,6021,1788,78,4898,,1283,4180
"May 29, 2020",7650,1224,895,1613,2998,1,3152,2333,4715,5788,240,6115,6197,1852,85,5087,,1320,4495
"May 30, 2020",2809,512,315,526,828,0,1328,768,1360,1759,59,1533,1519,571,30,1315,,408,1293
"May 31, 2020",4777,963,591,1538,1669,1,2032,1427,3168,3922,89,4245,4008,1391,31,3383,,825,2859
"June 1, 2020",7007,1098,793,1626,2722,1,2752,2178,4224,5163,183,5512,5894,1829,57,4587,,1234,4062
"June 2, 2020",3181,427,503,1005,1481,0,1011,1041,1205,1491,54,1937,1975,659,28,2024,,443,1940
"June 3, 2020",6639,1170,805,1661,2733,0,2637,2144,3500,4395,139,4822,4904,1701,47,4394,,1105,3919
"June 4, 2020",5247,811,681,1416,2307,0,1907,1761,2779,3413,105,3806,3726,1179,51,3363,,805,3172
"June 5, 2020",7759,1120,877,2284,2765,0,2766,2356,3891,4598,116,5030,4935,1918,57,4834,,1079,4667
"June 6, 2020",4751,825,533,859,2085,0,1667,1772,3419,4030,168,4930,4700,1437,54,3734,,879,2972
"June 7, 2020",9093,2182,798,1206,2850,0,4796,2618,6475,7908,339,8098,8213,2720,102,6121,,1491,4692
